"key","type","en","bg","br","cn","cz","de","dk","ee","es","fi","fr","gr","hr","hu","it","jp","lt","lu","lv","nl","pl","pt","ro","rs","ru","se","si","sk","tr","ua"
"INTL_SENSORS","const","Sensors","Сензори","Sensores","传感器","Moduly (čidla)","Sensoren","Sensorer","Andurid","Sensores","Anturit","Capteurs","Αισθητήρες","Senzori","Szenzorok","Sensori","センサー","Jutikliai","Sensoren","Sensori","Sensoren","Sensory","Sensores","Senzori","Senzori","Датчики","Sensorer","Senzorji","Senzory (čidlá)","Sensörler","Сенсори"
"INTL_MORE_SENSORS","const","More Sensors","Още Сензори","Outros Sensores","更多传感器","Více čidel","Weitere Sensoren","More Sensorer","Rohkem andureid","Más sensores","Lisää antureita","Autres capteurs","Περισσότεροι αισθητήρες","Više senzora","További Szenzorok","Altri Sensori","その他のセンサー","Daugiau jutiklių","Aner Sensoren","Vairāk sensoru","Overige sensoren","Więcej sensorów","Outros sensores","Mai mulți senzori","Više senzora","Иные датчики","More Sensors","Več senzorjev","Ďalšie senzory (čidlá)","More Sensors","More Sensors"
"INTL_SDS011","const","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011({pm})","SDS011 (modul {pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 ({pm})","SDS011 (modul {pm})","SDS011 ({pm})","SDS011 ({pm})"
"INTL_PMS","const","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 (modul {pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Rastlinjak PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 (modul {pm})","Plantower PMS(1,3,5,6,7)003 ({pm})","Plantower PMS(1,3,5,6,7)003 ({pm})"
"INTL_HPM","const","Honeywell PM ({pm})","Honeywell сензора за прахови частици","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell sensor de partículas finas","Honeywell PM ({pm})","Honeywell détecteur de particules fines","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM szenzor","Honeywell sensore polveri sottili","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell ({pm})","Honeywell sensor de partículas finas","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})","Honeywell PM ({pm})"
"INTL_NPM","const","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera传感器下一个PM({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Järgmine PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Seuraava PM ({pm})","Tera Sensor Next PM ({pm})","Αισθητήρας Tera Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Senzor Tera Naslednji PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})","Tera Sensor Next PM ({pm})"
"INTL_NPM_FULLTIME","const","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM permanent","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime","Next PM fulltime"
"INTL_IPS","const","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})","Piera Systems IPS-7100 ({pm})"
"INTL_SPS30","const","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})","Sensirion SPS30 ({pm})"
"INTL_PPD42NS","const","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})","PPD42NS ({pm})"
"INTL_DHT22","const","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})","DHT22 ({t}, {h})"
"INTL_HTU21D","const","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})","HTU21D ({t}, {h})"
"INTL_AHT20","const","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})","AHT20 ({t}, {h})"
"INTL_BMP180","const","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})","BMP180 ({t}, {p})"
"INTL_BMX280","const","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p}).","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})","BME280 ({t}, {h}, {p}), BMP280 ({t}, {p})"
"INTL_SHT3X","const","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})","SHT3X ({t}, {h})"
"INTL_SCD30","const","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)","SCD30 ({t}, {h}, CO₂)"
"INTL_DS18B20","const","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})","DS18B20 ({t})"
"INTL_DNMS","const","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})","DNMS ({l_a})"
"INTL_DNMS_CORRECTION","const","correction in dB(A)","корекция в dB (A)","Valor de correção em dB(A)","修正，单位：dB(A)","Korekce v dB (A)","Korrekturwert&nbsp;in&nbsp;dB(A)","korrektion i dB (A)","korrektsioon dB(A)","Corrección en dB (A)","korjaus dB(A)","Valeur corrigée en dB(A)","διόρθωση σε dB(A)","ispravak u dB(A)","korrekció dB(A)-ben","Correzione in dB(A)","補正量（単位：dB(A)","korekcija dB(A)","Korrekturwärt&nbsp;an&nbsp;dB(A)","korekcija dB(A)","Correctie in dB(A)","Poprawka w dB(A)","Valor de correção em dB(A)","corecție în dB(A)","Korekcija u dB(A)","поправка в dB(A)","Korrigering i dB (A)","popravek v dB(A)","korekcia v dB(A)","dB (A) 'da düzeltme","Kорекція в дБ (А)"
"INTL_TEMP_CORRECTION","const","Correction in °C","Корекция в °C","Correção em C°","以℃为单位进行校正","Korekce ve °C","Korrekturwert in °C","Korrektion i °C","Korrektsioon °C","Corrección en °C","Korjaus °C:ssa","Valeur corrigée en °C","Διόρθωση σε °C","ispravak u °C","Korrekció °C","Correzione in °C","補正（単位：°C","Korekcija °C","Korrekturwärt&nbsp;an&nbsp;°C","Korekcija °C","Correctie in °C","Poprawka w °C","Correção em °C","Corecție în °C","Korekcija u °C","Коррекция в °C","Korrigering i °C","Popravek v °C","korekcia v °C","°C olarak düzeltme","Корекція в °C"
"INTL_HEIGHT_ABOVE_SEALEVEL","const","Above sea level (m)","Над морското ниво (м)","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","Höhe über Meeresspiegel (m)","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","Altitude en m","[[height_above_sealevel]]","Iznad razine mora (m)","[[height_above_sealevel]]","[[Altitudine]]","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","Hoogte boven zeeniveau (m)","Wysokość m n.p.m.","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","Высота над уровнем моря (м)","Höjd över havet","[[height_above_sealevel]]","[[height_above_sealevel]]","[[height_above_sealevel]]","Висота над рівнем моря"
"INTL_PRESSURE_AT_SEALEVEL","const","pressure at sea level","Налягане на морското ниво","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","Luftdruck auf Meereshöhe","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","Press. atm. au niveau de la mer en hPa","[[pressure_at_sealevel]]","tlak na razini mora","[[pressure_at_sealevel]]","[[Pressione al livello del mare]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","Luchtdruk op zeeniveau","Ciśnienie zredukowane","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","Давление на уровне моря","Lufttryck vid havsytan","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","[[pressure_at_sealevel]]","тиск на рівні моря"
